Time,Channel A
(s),(V)

0.00000000,1.75496700
0.00050000,1.84484400
0.00100000,1.79998200
0.00150000,1.79998200
0.00200000,1.75496700
0.00250000,1.79998200
0.00300000,1.93487300
0.00350000,1.84484400
0.00400000,1.84484400
0.00450000,1.75496700
0.00500000,1.84484400
0.00550000,1.97988800
0.00600000,1.97988800
0.00650000,1.97988800
0.00700000,1.93487300
0.00750000,1.97988800
0.00800000,2.15994700
0.00850000,2.11493300
0.00900000,1.97988800
0.00950000,1.93487300
0.01000000,1.97988800
0.01050000,2.02490300
0.01100000,2.02490300
0.01150000,1.93487300
0.01200000,1.79998200
0.01250000,1.84484400
0.01300000,1.93487300
0.01350000,1.88985900
0.01400000,1.79998200
0.01450000,1.70995200
0.01500000,1.84484400
0.01550000,1.84484400
0.01600000,1.84484400
0.01650000,1.84484400
0.01700000,1.79998200
0.01750000,1.97988800
0.01800000,1.97988800
0.01850000,1.93487300
0.01900000,1.93487300
0.01950000,1.84484400
0.02000000,1.97988800
0.02050000,2.02490300
0.02100000,2.02490300
0.02150000,1.97988800
0.02200000,1.88985900
0.02250000,2.06991800
0.02300000,2.11493300
0.02350000,2.02490300
0.02400000,2.02490300
0.02450000,1.93487300
0.02500000,2.11493300
0.02550000,2.15994700
0.02600000,2.06991800
0.02650000,2.06991800
0.02700000,1.84484400
0.02750000,2.02490300
0.02800000,2.06991800
0.02850000,1.97988800
0.02900000,1.79998200
0.02950000,1.79998200
0.03000000,1.93487300
0.03050000,1.93487300
0.03100000,1.84484400
0.03150000,1.75496700
0.03200000,1.75496700
0.03250000,1.79998200
0.03300000,1.88985900
0.03350000,1.88985900
0.03400000,1.84484400
0.03450000,1.84484400
0.03500000,2.02490300
0.03550000,2.02490300
0.03600000,2.02490300
0.03650000,1.97988800
0.03700000,2.02490300
0.03750000,2.15994700
0.03800000,2.11493300
0.03850000,2.06991800
0.03900000,1.93487300
0.03950000,1.93487300
0.04000000,2.11493300
0.04050000,2.11493300
0.04100000,2.02490300
0.04150000,1.84484400
0.04200000,1.79998200
0.04250000,1.97988800
0.04300000,1.97988800
0.04350000,1.93487300
0.04400000,1.79998200
0.04450000,1.79998200
0.04500000,1.97988800
0.04550000,1.97988800
0.04600000,1.97988800
0.04650000,1.79998200
0.04700000,1.88985900
0.04750000,2.02490300
0.04800000,2.02490300
0.04850000,2.06991800
0.04900000,1.88985900
0.04950000,1.97988800
0.05000000,2.06991800
0.05050000,2.11493300
0.05100000,2.02490300
0.05150000,1.88985900
0.05200000,1.97988800
0.05250000,2.15994700
0.05300000,2.11493300
0.05350000,1.97988800
0.05400000,1.88985900
0.05450000,1.97988800
0.05500000,2.11493300
0.05550000,2.02490300
0.05600000,1.97988800
0.05650000,1.84484400
0.05700000,1.97988800
0.05750000,2.06991800
0.05800000,2.02490300
0.05850000,1.93487300
0.05900000,1.84484400
0.05950000,1.97988800
0.06000000,1.97988800
0.06050000,1.97988800
0.06100000,1.93487300
0.06150000,1.79998200
0.06200000,1.97988800
0.06250000,1.97988800
0.06300000,1.97988800
0.06350000,1.84484400
0.06400000,1.79998200
0.06450000,2.02490300
0.06500000,2.02490300
0.06550000,2.06991800
0.06600000,2.02490300
0.06650000,2.02490300
0.06700000,2.15994700
0.06750000,2.15994700
0.06800000,2.15994700
0.06850000,2.06991800
0.06900000,2.02490300
0.06950000,2.15994700
0.07000000,2.15994700
0.07050000,2.11493300
0.07100000,1.93487300
0.07150000,1.93487300
0.07200000,2.02490300
0.07250000,1.97988800
0.07300000,1.93487300
0.07350000,1.79998200
0.07400000,1.84484400
0.07450000,1.97988800
0.07500000,1.97988800
0.07550000,1.97988800
0.07600000,1.84484400
0.07650000,1.93487300
0.07700000,2.06991800
0.07750000,2.02490300
0.07800000,2.06991800
0.07850000,1.93487300
0.07900000,1.93487300
0.07950000,2.11493300
0.08000000,2.11493300
0.08050000,2.06991800
0.08100000,1.88985900
0.08150000,1.97988800
0.08200000,2.06991800
0.08250000,1.97988800
0.08300000,2.02490300
0.08350000,1.88985900
0.08400000,2.02490300
0.08450000,2.11493300
0.08500000,2.11493300
0.08550000,1.97988800
0.08600000,1.88985900
0.08650000,2.02490300
0.08700000,2.11493300
0.08750000,2.11493300
0.08800000,2.02490300
