0.0015,0.2541581,296.6552
0.002,0.2541581,301.1261
0.0025,0.2631306,301.1261
0.003,0.2721336,305.6123
0.0035,0.2721336,301.1261
0.004,0.2811365,296.6552
0.0045,0.2811365,296.6552
0.005,0.2811365,301.1261
0.0055,0.2901395,301.1261
0.006,0.2901395,296.6552
0.0065,0.2901395,301.1261
0.007,0.2811365,301.1261
0.0075,0.2631306,296.6552
0.008,0.2541581,305.6123
0.0085,0.2541581,305.6123
0.009,0.2541581,301.1261
0.0095,0.2451552,301.1261
0.01,0.2451552,301.1261
0.0105,0.2541581,301.1261
0.011,0.2451552,296.6552
0.0115,0.2451552,301.1261
0.012,0.2541581,296.6552
0.0125,0.2631306,301.1261
0.013,0.2721336,305.6123
0.0135,0.2811365,296.6552
0.014,0.2721336,301.1261
0.0145,0.2811365,301.1261
0.015,0.2901395,301.1261
0.0155,0.2901395,305.6123
0.016,0.2991119,301.1261
0.0165,0.2901395,301.1261
0.017,0.2991119,305.6123
0.0175,0.2991119,301.1261
0.018,0.2991119,301.1261
0.0185,0.2901395,301.1261
0.019,0.2811365,301.1261
0.0195,0.2811365,301.1261
0.02,0.2541581,305.6123
0.0205,0.2451552,296.6552
0.021,0.2361522,305.6123
0.0215,0.2271798,301.1261
0.022,0.2361522,296.6552
0.0225,0.2361522,305.6123
0.023,0.2451552,296.6552
0.0235,0.2541581,296.6552
0.024,0.2541581,296.6552
0.0245,0.2631306,296.6552
0.025,0.2631306,301.1261
0.0255,0.2631306,296.6552
0.026,0.2721336,296.6552
0.0265,0.2721336,301.1261
0.027,0.2631306,301.1261
0.0275,0.2541581,296.6552
0.028,0.2541581,301.1261
0.0285,0.2541581,301.1261
0.029,0.2631306,301.1261
0.0295,0.2631306,301.1261
0.03,0.2541581,301.1261
0.0305,0.2541581,305.6123
0.031,0.2541581,301.1261
0.0315,0.2541581,301.1261
0.032,0.2541581,301.1261
0.0325,0.2451552,305.6123
0.033,0.2541581,301.1261
0.0335,0.2541581,296.6552
0.034,0.2631306,296.6552
0.0345,0.2631306,301.1261
