Time,Channel A
(s),(mV)
,
0.15900001,21.85736
0.15950001,27.26524
0.16000001,47.09616
0.16050001,50.70345
0.16100001,23.65795
0.16150001,23.65795
0.16200001,43.48888
0.16250001,52.50404
0.16300001,41.68828
0.16350001,21.85736
0.16400001,29.06583
0.16450001,50.70345
0.16500001,54.30463
0.16550001,25.45854
0.16600001,29.06583
0.16650001,48.89676
0.16700001,56.11133
0.16750001,36.2804
0.16800001,21.85736
0.16850001,36.2804
0.16900001,50.70345
0.16950001,48.89676
0.17000001,27.26524
0.17050001,30.86642
0.17100001,45.28947
0.17150001,54.30463
0.17200001,48.89676
0.17250001,21.85736
0.17300001,36.2804
0.17350001,50.70345
0.17400001,54.30463
0.17450001,29.06583
0.17500001,29.06583
0.17550001,45.28947
0.17600001,54.30463
0.17650001,45.28947
0.17700001,21.85736
0.17750001,36.2804
0.17800001,48.89676
0.17850001,50.70345
0.17900001,29.06583
0.17950001,30.86642
0.18000001,45.28947
0.18050001,52.50404
0.18100001,45.28947
0.18150001,23.65795
0.18200001,30.86642
0.18250001,48.89676
0.18300001,52.50404
0.18350001,23.65795
0.18400001,29.06583
0.18450001,43.48888
0.18500001,52.50404
0.18550001,43.48888
0.18600001,21.85736
0.18650001,34.47371
0.18700001,50.70345
0.18750001,50.70345
0.18800001,21.85736
0.18850001,30.86642
0.18900001,50.70345
0.18950001,54.30463
0.19000001,27.26524
0.19050001,29.06583
0.19100001,38.08099
0.19150001,45.28947
0.19200001,36.2804
0.19250001,21.85736
0.19300001,34.47371
0.19350001,43.48888
0.19400001,47.09616
0.19450001,25.45854
0.19500001,23.65795
0.19550001,39.88159
0.19600001,48.89676
0.19650001,41.68828
0.19700001,21.85736
0.19750001,27.26524
0.19800001,41.68828
0.19850001,50.70345
0.19900001,23.65795
0.19950001,23.65795
0.20000001,36.2804
0.20050001,43.48888
0.20100001,38.08099
0.20150001,21.85736
0.20200001,27.26524
0.20250001,45.28947
0.20300001,48.89676
0.20350001,21.85736
0.20400001,23.65795
0.20450001,36.2804
0.20500001,48.89676
0.20550001,29.06583
0.20600001,23.65795
0.20650001,32.67311
0.20700001,43.48888
0.20750001,47.09616
0.20800001,21.85736
0.20850001,29.06583
0.20900001,39.88159
0.20950001,47.09616
0.21000001,23.65795
0.21050001,21.85736
0.21100001,38.08099
0.21150001,41.68828
0.21200001,48.89676
0.21250001,21.85736
0.21300001,27.26524
0.21350001,39.88159
0.21400001,45.28947
0.21450001,34.47371
0.21500001,23.65795
0.21550001,30.86642
0.21600001,39.88159
0.21650001,48.89676
0.21700001,45.28947
0.21750001,21.85736
0.21800001,30.86642
0.21850001,45.28947
0.21900001,50.70345
0.21950001,21.85736
0.22000001,23.65795
0.22050001,39.88159
0.22100001,52.50404
0.22150001,32.67311
0.22200001,21.85736
0.22250001,36.2804
0.22300001,43.48888
0.22350001,45.28947
0.22400001,21.85736
0.22450001,29.06583
0.22500001,43.48888
0.22550001,50.70345
0.22600001,29.06583
0.22650001,23.65795
0.22700001,34.47371
0.22750001,43.48888
0.22800001,29.06583
0.22850001,20.05066
0.22900001,32.67311
0.22950001,45.28947
0.23000001,48.89676
0.23050001,23.65795
0.23100001,21.85736
0.23150001,39.88159
0.23200001,47.09616
0.23250001,34.47371
0.23300001,21.85736
0.23350001,30.86642
0.23400001,43.48888
0.23450001,47.09616
0.23500001,27.26524
0.23550001,23.65795
0.23600001,36.2804
0.23650001,43.48888
0.23700001,43.48888
0.23750001,21.85736
0.23800001,27.26524
0.23850001,41.68828
0.23900001,45.28947
0.23950001,27.26524
0.24000001,23.65795
0.24050001,34.47371
0.24100001,43.48888
0.24150001,43.48888
0.24200001,21.85736
0.24250001,27.26524
0.24300001,39.88159
0.24350001,48.89676
0.24400001,45.28947
0.24450001,21.85736
0.24500001,30.86642
0.24550001,45.28947
0.24600001,48.89676
0.24650001,30.86642
0.24700001,23.65795
0.24750001,38.08099
0.24800001,45.28947
0.24850001,41.68828
0.24900001,21.85736
0.24950001,30.86642
0.25000001,38.08099
0.25050001,43.48888
0.25100001,32.67311
0.25150001,23.65795
0.25200001,41.68828
0.25250001,43.48888
0.25300001,23.65795
0.25350001,25.45854
0.25400001,36.2804
0.25450001,41.68828
0.25500001,41.68828
0.25550001,23.65795
0.25600001,29.06583
0.25650001,39.88159
0.25700001,43.48888
0.25750001,34.47371
0.25800001,23.65795
0.25850001,32.67311
0.25900001,38.08099
0.25950001,39.88159
0.26000001,23.65795
0.26050001,27.26524
0.26100001,38.08099
0.26150001,41.68828
0.26200001,34.47371
0.26250001,23.65795
0.26300001,30.86642
0.26350001,38.08099
0.26400001,45.28947
0.26450001,25.45854
0.26500001,23.65795
0.26550001,38.08099
0.26600001,43.48888
0.26650001,41.68828
0.26700001,21.85736
0.26750001,29.06583
0.26800001,38.08099
0.26850001,43.48888
0.26900001,23.65795
0.26950001,23.65795
0.27000001,29.06583
0.27050001,41.68828
0.27100001,43.48888
0.27150001,21.85736
0.27200001,30.86642
0.27250001,39.88159
0.27300001,41.68828
0.27350001,41.68828
0.27400001,23.65795
0.27450001,36.2804
0.27500001,39.88159
0.27550001,41.68828
0.27600001,21.85736
0.27650001,27.26524
0.27700001,38.08099
0.27750001,43.48888
0.27800001,43.48888
0.27850001,23.65795
0.27900001,30.86642
0.27950001,38.08099
0.28000001,43.48888
0.28050001,21.85736
0.28100001,23.65795
0.28150001,36.2804
0.28200001,39.88159
0.28250001,36.2804
0.28300001,23.65795
0.28350001,29.06583
0.28400001,39.88159
0.28450001,43.48888
0.28500001,27.26524
0.28550001,23.65795
0.28600001,38.08099
0.28650001,41.68828
0.28700001,43.48888
0.28750001,25.45854
0.28800001,30.86642
0.28850001,36.2804
0.28900001,43.48888
0.28950001,27.26524
0.29000001,23.65795
0.29050001,36.2804
0.29100001,38.08099
0.29150001,43.48888
0.29200001,21.85736
0.29250001,30.86642
0.29300001,38.08099
0.29350001,43.48888
0.29400001,38.08099
0.29450001,23.65795
0.29500001,32.67311
0.29550001,38.08099
0.29600001,43.48888
0.29650001,23.65795
0.29700001,27.26524
0.29750001,34.47371
0.29800001,39.88159
0.29850001,43.48888
0.29900001,21.85736
0.29950001,29.06583
0.30000001,38.08099
0.30050001,41.68828
0.30100001,39.88159
0.30150001,23.65795
0.30200001,32.67311
0.30250001,38.08099
0.30300001,45.28947
0.30350001,25.45854
0.30400001,34.47371
0.30450001,43.48888
0.30500001,47.09616
0.30550001,38.08099
0.30600001,27.26524
0.30650001,39.88159
0.30700001,41.68828
0.30750001,45.28947
0.30800001,30.86642
0.30850001,27.26524
0.30900001,38.08099
0.30950001,41.68828
0.31000001,34.47371
0.31050001,23.65795
0.31100001,30.86642
0.31150001,38.08099
0.31200001,43.48888
0.31250001,32.67311
0.31300001,27.26524
0.31350001,41.68828
0.31400001,45.28947
0.31450001,45.28947
0.31500001,29.06583
0.31550001,34.47371
0.31600002,48.89676
0.31650002,52.50404
0.31700002,47.09616
0.31750002,29.06583
0.31800002,45.28947
0.31850002,50.70345
0.31900002,54.30463
0.31950002,45.28947
0.32000002,36.2804
0.32050002,43.48888
0.32100002,47.09616
0.32150002,50.70345
0.32200002,27.26524
0.32250002,36.2804
0.32300002,43.48888
0.32350002,45.28947
0.32400002,43.48888
0.32450002,27.26524
0.32500002,38.08099
0.32550002,43.48888
0.32600002,45.28947
0.32650002,25.45854
0.32700002,29.06583
0.32750002,38.08099
0.32800002,43.48888
0.32850002,45.28947
0.32900002,27.26524
0.32950002,34.47371
0.33000002,43.48888
0.33050002,50.70345
0.33100002,30.86642
0.33150002,32.67311
0.33200002,45.28947
0.33250002,48.89676
0.33300002,48.89676
0.33350002,29.06583
0.33400002,38.08099
0.33450002,45.28947
0.33500002,50.70345
0.33550002,30.86642
0.33600002,30.86642
0.33650002,38.08099
0.33700002,50.70345
0.33750002,43.48888
0.33800002,27.26524
0.33850002,36.2804
0.33900002,43.48888
0.33950002,50.70345
0.34000002,41.68828
0.34050002,30.86642
0.34100002,39.88159
0.34150002,43.48888
0.34200002,48.89676
0.34250002,29.06583
0.34300002,34.47371
0.34350002,39.88159
0.34400002,41.68828
0.34450002,45.28947
0.34500002,25.45854
0.34550002,29.06583
0.34600002,39.88159
0.34650002,45.28947
0.34700002,29.06583
0.34750002,27.26524
0.34800002,41.68828
0.34850002,45.28947
0.34900002,45.28947
0.34950002,27.26524
0.35000002,34.47371
0.35050002,47.09616
0.35100002,56.11133
0.35150002,29.06583
0.35200002,30.86642
0.35250002,50.70345
0.35300002,52.50404
0.35350002,52.50404
0.35400002,30.86642
0.35450002,36.2804
0.35500002,48.89676
0.35550002,54.30463
0.35600002,29.06583
0.35650002,27.26524
0.35700002,38.08099
0.35750002,43.48888
0.35800002,41.68828
0.35850002,27.26524
0.35900002,34.47371
0.35950002,41.68828
0.36000002,41.68828
0.36050002,32.67311
0.36100002,29.06583
0.36150002,32.67311
0.36200002,41.68828
