Time,Channel A
(s),(V)
,
15.76600075,0.2913297
15.76650075,0.3094577
15.76700075,0.3275246
15.76750075,0.3455916
15.76800075,0.3637196
15.76850075,0.3637196
15.76900075,0.3637196
15.76950075,0.3637196
15.77000075,0.3455916
15.77050075,0.3275246
15.77100075,0.3094577
15.77150075,0.3094577
15.77200075,0.2913297
15.77250075,0.3094577
15.77300075,0.3094577
15.77350075,0.3455916
15.77400075,0.3817866
15.77450075,0.4179815
15.77500075,0.4541154
15.77550075,0.4903104
15.77600075,0.5083773
15.77650075,0.4903104
15.77700075,0.4360484
15.77750075,0.3817866
15.77800075,0.3455916
15.77850075,0.3094577
15.77900075,0.3094577
15.77950075,0.3094577
15.78000075,0.3094577
15.78050075,0.3275246
15.78100075,0.3455916
15.78150075,0.3817866
15.78200075,0.4179815
15.78250075,0.4360484
15.78300075,0.4541154
15.78350075,0.4541154
15.78400075,0.4360484
15.78450075,0.4179815
15.78500075,0.3817866
15.78550075,0.3637196
15.78600075,0.3637196
15.78650075,0.3455916
15.78700075,0.3455916
15.78750075,0.3637196
15.78800075,0.3637196
15.78850075,0.3817866
15.78900075,0.3998535
15.78950075,0.4179815
15.79000075,0.4360484
15.79050075,0.4360484
15.79100075,0.4541154
15.79150075,0.4541154
15.79200075,0.4360484
15.79250075,0.4179815
15.79300075,0.4179815
15.79350075,0.3817866
15.79400075,0.3817866
15.79450075,0.3637196
15.79500075,0.3637196
15.79550075,0.3817866
15.79600075,0.3817866
15.79650075,0.3998535
15.79700075,0.4179815
15.79750075,0.4179815
15.79800075,0.4179815
15.79850075,0.4179815
15.79900075,0.4179815
15.79950075,0.3817866
15.80000075,0.3817866
15.80050075,0.3817866
15.80100075,0.3817866
15.80150075,0.3998535
15.80200075,0.4179815
15.80250075,0.4179815
15.80300075,0.4179815
15.80350075,0.4179815
15.80400075,0.3998535
15.80450075,0.3817866
15.80500075,0.3455916
15.80550075,0.3455916
15.80600075,0.3455916
15.80650075,0.3455916
15.80700075,0.3637196
15.80750075,0.3817866
15.80800075,0.4179815
15.80850075,0.4360484
15.80900075,0.4541154
15.80950075,0.4903104
15.81000075,0.4903104
15.81050075,0.4722434
15.81100075,0.4541154
15.81150075,0.4360484
15.81200075,0.4179815
15.81250075,0.3817866
15.81300075,0.3817866
15.81350075,0.3637196
15.81400075,0.3637196
15.81450075,0.3637196
15.81500075,0.3998535
15.81550075,0.4179815
15.81600075,0.4360484
15.81650075,0.4541154
15.81700075,0.4903104
15.81750075,0.4903104
15.81800075,0.4903104
15.81850075,0.4722434
15.81900075,0.4541154
15.81950075,0.4360484
15.82000075,0.4179815
15.82050075,0.3998535
15.82100075,0.3817866
15.82150075,0.4179815
15.82200075,0.3998535
15.82250075,0.4179815
15.82300075,0.4541154
15.82350075,0.5083773
15.82400075,0.5445723
15.82450075,0.5626392
15.82500075,0.5626392
15.82550075,0.5445723
15.82600075,0.5083773
15.82650075,0.4903104
15.82700075,0.4903104
15.82750075,0.4541154
15.82800075,0.4541154
15.82850075,0.4903104
15.82900075,0.5265054
15.82950075,0.5807672
15.83000075,0.6530961
15.83050075,0.707358
15.83100075,0.743553
15.83150075,0.7978148
15.83200075,0.7978148
15.83250075,0.7796869
15.83300075,0.7254249
15.83350075,0.6711631
15.83400075,0.5988342
15.83450075,0.5445723
15.83500075,0.5083773
15.83550075,0.5083773
15.83600075,0.5265054
15.83650075,0.5807672
15.83700075,0.6350291
15.83750075,0.6892911
15.83800075,0.743553
15.83850075,0.7978148
15.83900075,0.8158818
15.83950075,0.8339488
15.84000075,0.7978148
15.84050075,0.7616199
15.84100075,0.7254249
15.84150075,0.6711631
15.84200075,0.6350291
15.84250075,0.5988342
15.84300075,0.5988342
15.84350075,0.5807672
15.84400075,0.5988342
15.84450075,0.6169012
15.84500075,0.6530961
15.84550075,0.6711631
15.84600075,0.6892911
15.84650075,0.707358
15.84700075,0.707358
15.84750075,0.707358
15.84800075,0.707358
15.84850075,0.6892911
15.84900075,0.6711631
15.84950075,0.6711631
15.85000075,0.6892911
15.85050075,0.707358
15.85100075,0.707358
15.85150075,0.707358
15.85200075,0.707358
15.85250075,0.707358
15.85300075,0.707358
15.85350075,0.6892911
15.85400075,0.6530961
15.85450075,0.6530961
